Playlist Name,Track Name,Artist,Album,Release Date
Unknown,Landslide,Fleetwood Mac,Fleetwood Mac,1975-07-11
Unknown,Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04
Unknown,Black Smoke Rising,Greta Van Fleet,From The Fires,2017-11-10
Unknown,Highway Tune,Greta Van Fleet,From The Fires,2017-11-10
Unknown,Flower Power,Greta Van Fleet,From The Fires,2017-11-10
Unknown,I'll Be,Edwin McCain,Misguided Roses,1997
Unknown,Caught Up In You,38 Special,Special Forces,1982-01-01
Unknown,Listen to the Music,The Doobie Brothers,Toulouse Street,1972
Unknown,Small Town,John Mellencamp,Scarecrow,1985
Unknown,Swingtown,Steve Miller Band,Greatest Hits 1974-78,1978-01-01
Unknown,"Paint It, Black",The Rolling Stones,Aftermath,1966-04-15
Unknown,Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08
Unknown,Life in the Fast Lane - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08
Unknown,One of These Nights - 2013 Remaster,Eagles,One of These Nights (2013 Remaster),1975-06-10
Unknown,Baby Come Back (triple j Like A Version),Ocean Alley,Baby Come Back (triple j Like A Version),2018-06-01
Unknown,Twilight Zone,Golden Earring,The Long Versions - Part One,2008-10-22
Unknown,Help! - Remastered 2009,The Beatles,Help! (Remastered),1965-08-06
Unknown,New Light,John Mayer,New Light,2018-05-10
Unknown,Shakedown Street - 2013 Remaster,Grateful Dead,Shakedown Street,1978
Unknown,She's so High,Tal Bachman,Tal Bachman,1999-02-23
Unknown,Push,Matchbox Twenty,Yourself or Someone Like You,1996-10-01
Unknown,Waterfalls,TLC,Crazysexycool,1994-11-15
Unknown,All For You,Sister Hazel,...Somewhere More Familiar,1997-01-01
Unknown,All The Small Things,blink-182,Enema Of The State,1999-01-01
Unknown,Good Riddance (Time of Your Life),Green Day,Nimrod,1997-10-14
Unknown,Losing My Religion,R.E.M.,Out Of Time (U.S. Version),1991-01-01
Unknown,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,Armageddon - The Album,1998-06-23
Unknown,Kryptonite,3 Doors Down,The Better Life,2000
Unknown,What It's Like,Everlast,Whitey Ford Sings The Blues,1998-09-08
Unknown,Wonderwall,Oasis,[What's The Story] Morning Glory,1995-10-02
Unknown,Everlong - Acoustic Version,Foo Fighters,Greatest Hits,2009-11-03
Unknown,Slide,The Goo Goo Dolls,Dizzy up the Girl,1998
Unknown,Bitter Sweet Symphony,The Verve,Urban Hymns,1997-09-29
Unknown,Sex & Candy,Marcy Playground,Marcy Playground,1997-01-01
Unknown,Drive,Incubus,Make Yourself,1999-10-26
Unknown,How's It Going to Be,Third Eye Blind,Third Eye Blind,1997-04-08
Unknown,Santeria,Sublime,Sublime (Explicit Version),1996-07-30
Unknown,Crash into Me,Dave Matthews Band,Crash,1996-04-30
Unknown,Under the Bridge,Red Hot Chili Peppers,Greatest Hits,2003-11-18
Unknown,Save Tonight,Eagle-Eye Cherry,Desireless,1998-01-01
Unknown,Every Morning,Sugar Ray,14:59,1999-01-12
Unknown,Loser,Beck,Mellow Gold,1994-03-01
Unknown,Lovefool - Radio Edit,The Cardigans,First Band On The Moon,1996-09-17
Unknown,1979,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,1995-10-24
Unknown,One Week,Barenaked Ladies,Stunt (20th Anniversary Edition),1998-07-07
Unknown,Pinch Me,Barenaked Ladies,Maroon,2000-09-01
Unknown,It's All Been Done,Barenaked Ladies,Stunt (20th Anniversary Edition),1998-07-07
Unknown,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking in Tongues (Deluxe Version),1983-05-31
Unknown,Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),1977-09-16
Unknown,American Pie,Don McLean,American Pie,1971
Unknown,Centerfold,The J. Geils Band,Freeze Frame,1981
Unknown,Once in a Lifetime - 2005 Remaster,Talking Heads,Remain in Light (Deluxe Version),1980-10-08
Unknown,Burning Down the House,Talking Heads,Burning Down the House / I Get Wild / Wild Gravity,1983-06-01
Unknown,Highwayman,The Highwaymen,The Essential Highwaymen,2010-10-26
Unknown,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,1961-10-20
Unknown,Fix You,Coldplay,X&Y,2005-06-07
Unknown,Come Fly With Me - Remastered 1998,Frank Sinatra,Come Fly With Me (Expanded Edition),1958
Unknown,My Way,Frank Sinatra,My Way (Expanded Edition),1969-03
Unknown,That's Amore,Dean Martin,"Dean Martin: The Capitol Recordings, Vol. 4 (1952-1954)",1954
Unknown,Wheel in the Sky,Journey,Infinity,1978
Unknown,Don't Stop Believin',Journey,Escape (Bonus Track Version),1981
Unknown,Any Way You Want It,Journey,Departure,1980
Unknown,I Just Called To Say I Love You,Stevie Wonder,At The Close Of A Century,1999-11-23
Unknown,(I Just) Died In Your Arms,Cutting Crew,The Best Of Cutting Crew,1993-01-01
Unknown,Ohio,"Crosby, Stills, Nash & Young",So Far,1974-08-19
Unknown,"I'm A Believer - From ""Shrek"" Motion Picture Soundtrack",Smash Mouth,Shrek,2001-01-01
Unknown,Bad Reputation,Joan Jett & the Blackhearts,Bad Reputation (Expanded Edition),1981-01-23
Unknown,Tongue Tied,GROUPLOVE,Never Trust a Happy Song,2011-09-02
Unknown,Unwritten,Natasha Bedingfield,Unwritten,2004-09-06
Unknown,If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,2003-12-02
Unknown,No One,Alicia Keys,As I Am,2007-11-09
Unknown,Superman (It's Not Easy),Five For Fighting,America Town,2000-09-26
Unknown,Boston,Augustana,All The Stars and Boulevards,2005
Unknown,You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),1986-08-12
Unknown,Waves,Dean Lewis,Same Kind Of Different,2017-05-12
Unknown,Summer Wine,Nancy Sinatra,Nancy & Lee,1968-01-01
Unknown,Superman,Lazlo Bane,All The Time In The World,2002-09-27
Unknown,These Boots Are Made For Walkin',Nancy Sinatra,Boots,1966-03
Unknown,Happier,Ed Sheeran,÷ (Deluxe),2017-03-03
Unknown,Confidence,Ocean Alley,Chiaroscuro,2018-03-09
Unknown,Yellow Mellow,Ocean Alley,Yellow Mellow EP,2013-09-08
Unknown,Lemonworld,Ocean Alley,Lost Tropics,2016-05-13
Unknown,Wake Me up When September Ends,Green Day,American Idiot,2004-09-21
Unknown,"I'm Alright (Theme from ""Caddyshack"")",Kenny Loggins,The Essential Kenny Loggins,2014-07-17
Unknown,(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,1976
Unknown,Astronomy,Blue Öyster Cult,Secret Treaties,1974-04-01
Unknown,Trouble,Ray LaMontagne,Trouble,2004-08-15
Unknown,Trouble,Cage The Elephant,Tell Me I'm Pretty,2015-12-18
Unknown,Trouble,Coldplay,Parachutes,2000-07-10
Unknown,The Scientist,Coldplay,A Rush of Blood to the Head,2002-08-27
Unknown,In The Air Tonight,Phil Collins,Face Value,1981-01-01
Unknown,The Hustle,Van McCoy,Disco Baby,1975
Unknown,Ride Like the Wind,Christopher Cross,Christopher Cross,1979
Unknown,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,Bookends,1968-04-03
Unknown,The Boxer,Simon & Garfunkel,Bridge Over Troubled Water,1970-01-26
Unknown,Knees,Ocean Alley,Chiaroscuro,2018-03-09
Unknown,Chasing Pavements,Adele,19,2008-01-28
Unknown,Big Yellow Taxi,Counting Crows,Films About Ghosts: The Best Of...,2003-01-01
Unknown,One Day,Matisyahu,Light,2010-01-12
Unknown,Wavin' Flag,K'NAAN,Troubadour,2009
Unknown,Heaven Must Be Missing An Angel - Pt. 1,Tavares,Anthology,2004-01-01
Unknown,Stay,Rihanna,Unapologetic (Deluxe),2012-12-11
Unknown,"St. Paul, MN",Matthew Pinder,"St. Paul, MN",2019-03-29
Unknown,Simple Man,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01
Unknown,Seattle Rain,888,Critical Mistakes,2016-07-15
Unknown,The Safety Dance,Men Without Hats,Rhythm of Youth,1982
Unknown,The Less I Know The Better,Tame Impala,Currents,2015-07-17
Unknown,Patience,Tame Impala,Patience,2019-03-22
Unknown,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,Dirty Dancing (Original Motion Picture Soundtrack),1987-09-24
Unknown,Harden My Heart,Quarterflash,Quarterflash,1981-01-01
Unknown,American Boy,Estelle,Shine,2008-03-28
Unknown,American Girl,Tom Petty and the Heartbreakers,Tom Petty & The Heartbreakers,1976-11-09
Unknown,A Horse with No Name,America,America,1972
Unknown,"Can't Get Enough Of Your Love, Babe",Barry White,Barry White's Greatest Hits,1975-01-01
Unknown,Electric Feel,MGMT,Oracular Spectacular,2007-12-14
Unknown,Up for Beeing Down With You,BC Unidos,Otro Mundo Es Posible,2018-06-15
Unknown,Baby Hold On (2022 Remaster),Eddie Money,Eddie Money (2022 Remaster),1977-12-01
Unknown,Take Me Home Tonight,Eddie Money,Can't Hold Back,1986-10-15
Unknown,Two Tickets to Paradise (2022 Remaster),Eddie Money,Eddie Money (2022 Remaster),1977-12-01
Unknown,Afternoon Delight,Starland Vocal Band,Starland Vocal Band,2004-01-01
Unknown,Heaven,Los Lonely Boys,Los Lonely Boys,2004-11-16
Unknown,Beast Of Burden - Remastered 1994,The Rolling Stones,Some Girls,1978-06-09
Unknown,Holiday Road - 2018 Remaster,Lindsey Buckingham,Solo Anthology: The Best of Lindsey Buckingham (Deluxe Edition),2018-10-05
Unknown,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,1972-05-19
Unknown,Tiny Dancer,Elton John,Madman Across The Water,1971-11-05
Unknown,Don't Go Breaking My Heart,Elton John,To Be Continued...,1990-11-08
Unknown,Lovely Day,Bill Withers,Lean on Me: The Best of Bill Withers,1994-08-09
Unknown,Let's Stay Together,Al Green,Let's Stay Together,1972
Unknown,Move on Up - Single Edit,Curtis Mayfield,Move on Up,1970
Unknown,Life is a Highway,Rascal Flatts,Me And My Gang,2006-01-01
Unknown,Summer Breeze,Seals and Crofts,Seals & Crofts' Greatest Hits,1977-10-11
Unknown,Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),1977
Unknown,I'm On Fire,Bruce Springsteen,Born In The U.S.A.,1984-06-04
Unknown,All of Me,John Legend,Love In The Future (Expanded Edition),2013-08-30
Unknown,Preach,John Legend,Preach,2019-02-15
Unknown,Love Me Now,John Legend,DARKNESS AND LIGHT,2016-12-02
Unknown,Good Vibrations - Remastered 2001,The Beach Boys,Good Vibrations 40th Anniversary,2006-01-01
Unknown,Wonderful Tonight,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),1977-11-01
Unknown,Lady (You Bring Me Up),Commodores,In The Pocket,1981-01-01
Unknown,Fire,Fia Nyxx,Everything Girl,2018-03-23
Unknown,Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),1976
Unknown,Karma Chameleon,Culture Club,80's Super Hits,2008-04-01
Unknown,(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay,1968-02-23
Unknown,In the Summertime,Mungo Jerry,In the Summertime,2006
Unknown,Islands In the Stream,Dolly Parton,Ultimate Dolly Parton,2003-06-03
Unknown,Wouldn't It Be Nice,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix),1966-06-16
Unknown,I Got A Name,Jim Croce,I Got A Name,1973-01-01
Unknown,Time In A Bottle,Jim Croce,You Don't Mess Around With Jim,1972-01-01
Unknown,Baby Come Back,Player,70s Mix,2019-06-14
Unknown,"Oh, Pretty Woman",Roy Orbison,THE ALL TIME GREATEST HITS OF ROY ORBISON - VOLUME #2,1988-09-27
Unknown,Baba O'Riley,The Who,Who's Next (Deluxe Edition),1971-08-14
Unknown,Peace Frog,The Doors,Morrison Hotel,1970-02-09
Unknown,Fly Away,Lenny Kravitz,5,1998-05-12
Unknown,American Woman,Lenny Kravitz,5,1998-05-12
Unknown,Tom Sawyer,Rush,Moving Pictures (2011 Remaster),1981-02-12
Unknown,I'm Still Standing,Elton John,Too Low For Zero,1983-05-30
Unknown,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (Deluxe Remastered Version),1975-11-21
Unknown,Don't Stop Me Now - Remastered 2011,Queen,Jazz (Deluxe Remastered Version),1978-11-10
Unknown,Another One Bites The Dust - Remastered 2011,Queen,The Game (Deluxe Remastered Version),1980-06-27
Unknown,Under Pressure - Remastered 2011,Queen,Hot Space (Deluxe Remastered Version),1982-05-03
Unknown,Bicycle Race - Remastered 2011,Queen,Jazz (Deluxe Remastered Version),1978-11-10
Unknown,Uptown Girl,Billy Joel,An Innocent Man,1983-08-08
Unknown,Piano Man,Billy Joel,Piano Man (Legacy Edition),1973-11-07
Unknown,Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,Sweet Dreams (Are Made Of This),1983-01-04
Unknown,"Baby, I Love Your Way",Big Mountain,The Best of Big Mountain,1999-01-01
Unknown,Funkytown - Single Version,Lipps Inc.,Disco Gold,2005-01-01
Unknown,Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash","Crosby, Stills & Nash",1969-05-29
Unknown,Tequila,The Champs,Greatest Hits / Tequila,1994-04-19
Unknown,Kids,MGMT,Oracular Spectacular,2007-12-14
Unknown,Here Comes the Rain Again - Remastered Version,Eurythmics,Touch (Reissue - Deluxe Edition),1983-11-14
Unknown,Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,1987-12-08
Unknown,Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,1998-11-09
Unknown,Midnight City,M83,"Hurry Up, We're Dreaming",2011
Unknown,Fame - 2016 Remaster,David Bowie,Young Americans (2016 Remaster),1975-03-07
Unknown,Renegade,Styx,Pieces Of Eight,1978-01-01
Unknown,Come Sail Away,Styx,The Grand Illusion,1977-01-01
Unknown,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),1985-02-25
Unknown,Crazy,Gnarls Barkley,St. Elsewhere,2006-05-02
Unknown,Higher Love - Single Version,Steve Winwood,'80s Pop Number 1's,2007-01-01
Unknown,Fat Bottomed Girls,Queen,Jazz,1978-11-10
Unknown,Someday - Remastered,Sugar Ray,The Best Of Sugar Ray,2005-06-17
Unknown,Summer of '42,Kishi Bashi,Summer of '42,2019-03-08
Unknown,Lyin' Eyes - 2013 Remaster,Eagles,One of These Nights (2013 Remaster),1975-06-10
Unknown,Maniac,Michael Sembello,Flashdance (Original Soundtrack From The Motion Picture),1983-04-11
Unknown,Who Can It Be Now?,Men At Work,Business As Usual,1981-11-09
Unknown,Down Under,Men At Work,Business As Usual,1981-11-09
Unknown,Eye of the Tiger,Survivor,Rocky IV,1985
Unknown,Sweet Emotion,Aerosmith,Toys In The Attic,1975-04-08
Unknown,Dream On,Aerosmith,Aerosmith,1973-01-05
Unknown,Who Are You,The Who,Who Are You,1978-08-18
Unknown,Fly - Fly,Sugar Ray,Floored,1997-06-20
Unknown,Footloose,Kenny Loggins,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",1997-03-25
Unknown,Long Train Runnin',The Doobie Brothers,The Captain and Me,1973
Unknown,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,Higher And Higher,1967
Unknown,"Stir It Up - From ""Beverly Hills Cop"" Soundtrack",Patti LaBelle,The Best Of Patti LaBelle 20th Century Masters The Millennium Collection,1999-01-01
Unknown,True - Single Edit,Spandau Ballet,True - The Digital E.P.,2008-04-25
Unknown,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,1977
Unknown,Hooked On A Feeling,Blue Swede,Hooked On A Feeling,1973-04-01
Unknown,Fooled Around And Fell In Love,Elvin Bishop,Struttin' My Stuff,1975-01-01
Unknown,Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,1973-11-01
Unknown,Snowbird,Anne Murray,This Way Is My Way,1998-01-01
Unknown,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,1979-01-01
Unknown,O-o-h Child,The Five Stairsteps,The First Family of Soul: The Best of The Five Stairsteps,2001-11-06
Unknown,The Rubberband Man,The Spinners,The Rubberband Man / Now That We're Together,1976
Unknown,It's A Shame,The Spinners,2nd Time Around (Expanded Edition),1970
Unknown,Shake Your Groove Thing,Peaches & Herb,2 Hot!,1978
Unknown,I Will Survive - 1981 Re-recording,Gloria Gaynor,I Will Survive,1981
Unknown,Joy To The World,Three Dog Night,Naturally,1970-01-01
Unknown,God Only Knows - Mono,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix),1966-06-16
Unknown,Burnin' Love (from the motion picture Lilo & Stitch),Wynonna,What The World Needs Now Is Love,2003-08-05
Unknown,Best of My Love,The Emotions,Rejoice,1977-06-10
Unknown,Feel like Makin' Love - 2015 Remaster,Bad Company,Straight Shooter,1975
Unknown,Bad Company - 2015 Remaster,Bad Company,Bad Company (Deluxe),1974
Unknown,Shooting Star - 2015 Remaster,Bad Company,Straight Shooter,1975
Unknown,Can't Get Enough - 2015 Remaster,Bad Company,Bad Company (Deluxe),1974
Unknown,You Are,Lionel Richie,Lionel Richie,1982
Unknown,Meet Me Halfway,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01
Unknown,Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),1977-11-01
Unknown,Cat's in the Cradle,Harry Chapin,Verities & Balderdash,1974
Unknown,Sultans of Swing,Dire Straits,Dire Straits,1978-10-07
Unknown,Walk of Life,Dire Straits,Brothers in Arms,1985-05-13
Unknown,Mambo No. 5 (A Little Bit of...),Lou Bega,King of Mambo,2002-05-31
Unknown,We Built This City,Starship,Knee Deep In The Hoopla,1985-09-10
Unknown,We Belong,Pat Benatar,Tropico,1984
Unknown,Good Vibrations,Marky Mark And The Funky Bunch,Music For The People,1991
Unknown,Say You Love Me,Fleetwood Mac,Fleetwood Mac,1975-07-11
Unknown,"Take Me Home, Country Roads - Rerecorded",John Denver,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",1997-06-17
Unknown,Somebody's Watching Me,Rockwell,Body By Jake: Randy Couture Workout Mix (BPM 104-144),2012-02-01
Unknown,Old Man - 2009 Remaster,Neil Young,Harvest (2009 Remaster),1972-02-14
Unknown,Mr. Sandman - 1954 #1 Billboard chart hit,The Chordettes,"""They're Riding High"" Says Archie",1957
Unknown,Lollipop,The Chordettes,The Chordettes Collection 1951-62,2019-01-18
Unknown,Tempted,Squeeze,East Side Story,1981
Unknown,Walking On A Dream,Empire Of The Sun,Walking On A Dream,2009-02-23
Unknown,Don't Dream It's Over,Crowded House,Crowded House,1986-01-01
Unknown,La Grange - 2005 Remaster,ZZ Top,Tres Hombres (Expanded 2006 Remaster),1973-07-26
Unknown,Mambo Italiano,Dean Martin,Dino: The Essential Dean Martin,2013-12-31
Unknown,The Man,Aloe Blacc,Lift Your Spirit,2014-01-01
Unknown,Enjoy the Silence - 2006 Remaster,Depeche Mode,Violator (2006 Remaster),1990-03-19
Unknown,Pride and Joy,Stevie Ray Vaughan,Texas Flood (Legacy Edition),1983
Unknown,Texas Flood,Stevie Ray Vaughan,Texas Flood (Legacy Edition),1983
Unknown,Happy Together,The Turtles,Happy Together,1967
Unknown,Miss You - Remastered,The Rolling Stones,Some Girls,1978-06-09
Unknown,House Of The Rising Sun,The Animals,The Animals,1964-01-01
Unknown,House of Gold,Twenty One Pilots,Vessel,2013-01-08
Unknown,Black Dog - Remaster,Led Zeppelin,Mothership (Remastered),2007
Unknown,Houses of the Holy - Remaster,Led Zeppelin,Mothership (Remastered),2007
Unknown,Stairway to Heaven - Remaster,Led Zeppelin,Mothership (Remastered),2007
Unknown,Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),1970
Unknown,Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),1969-10-22
Unknown,Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1971-11-08
Unknown,Girls,Beastie Boys,Licensed To Ill,1986-11-15
Unknown,What's Going On,Marvin Gaye,What's Going On,1971-01-01
Unknown,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972
Unknown,Ramblin' Man,Allman Brothers Band,Dreams,1989-06-20
Unknown,Don't Stop - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04
Unknown,Dancing in the Moonlight,King Harvest,Dancing in the Moonlight,1973-01-01
Unknown,Don't Bring Me Down,Electric Light Orchestra,Discovery,1979-05-31
Unknown,Maggie May,Rod Stewart,Every Picture Tells A Story,1971-05-18
Unknown,Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,Distant Light (1999 Remaster),1971-10-08
Unknown,Runnin' Down A Dream,Tom Petty,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,2019-03-01
Unknown,Hold the Line,TOTO,Toto,1978-10-10
Unknown,Rosanna,TOTO,Toto IV,1982-04-08
Unknown,Telephone Line,Electric Light Orchestra,A New World Record,1976-09-01
Unknown,Give A Little Bit,Supertramp,Even In The Quietest Moments,1977-01-01
Unknown,Goodbye Stranger - 2010 Remastered,Supertramp,Breakfast In America (Deluxe Edition),1979-03-29
Unknown,Magic Carpet Ride,Steppenwolf,The Second,1968-10-01
Unknown,Evil Woman,Electric Light Orchestra,Face the Music,1975-10-01
Unknown,Overkill,Men At Work,Cargo,1983
Unknown,You Are The Reason - Duet Version,Calum Scott,Only Human (Special Edition),2018-11-30
Unknown,I Can't Stop Loving You,Ray Charles,"Modern Sounds in Country and Western Music, Vols 1 & 2",2009-06-02
Unknown,Wish I Knew You,The Revivalists,Men Amongst Mountains,2015-07-15
Unknown,I Can't Stop Loving You,Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,1962-12-10
Unknown,Just Can’t Get Enough,Black Eyed Peas,The Beginning,2010-01-01
Unknown,Money for Nothing,Dire Straits,Brothers in Arms,1985-05-13
Unknown,I Was Made For Lovin' You,KISS,Dynasty,1979-03-23
Unknown,Where Is The Love?,Black Eyed Peas,Elephunk,2003
Unknown,Summer Nights,John Travolta,Grease,1978-09-14
Unknown,You're The One That I Want,John Travolta,Grease,1978-09-14
Unknown,Greased Lightnin',John Travolta,Grease,1978-09-14
Unknown,Grease - From “Grease” Original Motion Picture Soundtrack,Frankie Valli,Grease (Limited Edition),1998-01-01
Unknown,Sunshine Of Your Love,Cream,Disraeli Gears,1967-11-02
Unknown,Detroit Rock City,KISS,Double Platinum,1978-01-01
Unknown,Bad To The Bone,George Thorogood & The Destroyers,BAD TO THE BONE,1982-01-01
Unknown,Dude (Looks Like A Lady),Aerosmith,Permanent Vacation,1987-01-01
Unknown,Urgent,Foreigner,4 (Expanded),1981
Unknown,"Heart Of Glass (12"" Version)",Blondie,Heart Of Glass,1979-01-03
Unknown,The Boys Are Back In Town,Thin Lizzy,Jailbreak (Deluxe Edition),1976
Unknown,It's Raining Men - Single Version,The Weather Girls,NOW That's What I Call Dance Classics,2009-11-03
Unknown,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Greatest,1979-01-01
Unknown,Seven Nation Army,The White Stripes,Elephant,2003-04-01
Unknown,FM,Steely Dan,A Decade Of Steely Dan,1985-01-01
Unknown,Holiday,Madonna,Celebration (double disc version),2009-09-18
Unknown,Knockin' On Heaven's Door,Bob Dylan,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),1973-07-13
Unknown,The Man in Me,Bob Dylan,New Morning,1970-10-21
Unknown,The Weight - Remastered 2000,The Band,Music From Big Pink (Remastered),1968-07-01
Unknown,It's Not Unusual,Tom Jones,Along Came Jones,1965-05-01
Unknown,She's A Lady,Tom Jones,Tom Jones Sings She's A Lady,1971-05-01
Unknown,Desperado - 2013 Remaster,Eagles,Desperado (2013 Remaster),1973-04-17
Unknown,The Rain The Park And Other Things,The Cowsills,The Cowsills,1967-10-01
Unknown,S.O.B.,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,2015-01-01
Unknown,I Need Never Get Old,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,2015-01-01
Unknown,Take on Me,a-ha,Hunting High and Low,1985-06-01
Unknown,Call On Me - Radio Edit,Eric Prydz,Call On Me,2004
Unknown,War Pigs,Black Sabbath,The Ultimate Collection,2017-02-03
Unknown,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology,1985
Unknown,Blinded By The Light,Manfred Mann's Earth Band,The Roaring Silence,1976
Unknown,Baby I'm Yours - feat. Irfrane,Breakbot,By Your Side,2012-12-11
Unknown,Move Your Feet,Junior Senior,d-d-don't don't stop the beat (Explicit Content U.S. Version),2003-07-25
Unknown,The Longest Time,Billy Joel,An Innocent Man,1983-08-08
Unknown,I Need A Dollar,Aloe Blacc,Good Things,2010-09-28
Unknown,Roxanne,The Police,Outlandos D'Amour (Remastered 2003),1978-11-02
Unknown,A Fifth Of Beethoven,Walter Murphy,Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),1977-11-15
Unknown,Just a Love Song,Walter Murphy,A Fifth of Beethoven,1976-10-31
Unknown,Bittersweet,Big Head Todd and The Monsters,Sister Sweetly,1993-02-23
Unknown,Someone You Loved,Teddy Swims,Someone You Loved,2019-07-26
Unknown,Somebody to Love,Jefferson Airplane,Surrealistic Pillow,1967
Unknown,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17
Unknown,Someone Like You,Adele,21,2011-01-19
Unknown,"Accidentally In Love - From ""Shrek 2"" Soundtrack",Counting Crows,Shrek 2 (Original Motion Picture Soundtrack),2004-05-19
Unknown,Big Yellow Taxi,Counting Crows,Hard Candy,2002-07-08
Unknown,Round Here,Counting Crows,August And Everything After,1993-01-01
Unknown,Ocean Man,Ween,The Mollusk,1997-04-18
Unknown,Dreaming with a Broken Heart,John Mayer,Continuum,2006-09-11
Unknown,You've Made Me So Very Happy,"Blood, Sweat & Tears","Blood, Sweat & Tears (Expanded Edition)",1968-12
Unknown,The Bones - with Hozier,Maren Morris,The Bones (with Hozier),2019-10-04
Unknown,Tired of Being Alone,Al Green,Gets Next to You,1971-08-14
Unknown,Night Moves,Bob Seger,Night Moves,1976-10-22
Unknown,Bang the Drum All Day,Todd Rundgren,The Ever Popular Tortured Artist Effect,1982
Unknown,Kokomo,The Beach Boys,50 Big Ones: Greatest Hits,2012-01-01
Unknown,Silent Lucidity - Remastered 2003,Queensrÿche,Empire - 20th Anniversary Edition,1990
Unknown,Tombstone,Ocean Alley,Tombstone,2019-12-11
Unknown,Show Me The Way,Peter Frampton,Frampton,1975-01-01
Unknown,Vienna,Billy Joel,The Stranger (Legacy Edition),1977
Unknown,Budapest,George Ezra,Wanted on Voyage,2015-01-20
Unknown,Sometimes It Hurts,Dojo Cuts,Take from Me,2012-04-16
Unknown,Shattered (Turn The Car Around),O.A.R.,All Sides (Deluxe Edition),2008-07-15
Unknown,I'll Take You There,The Staple Singers,The Very Best Of The Staple Singers,2007-01-01
Unknown,Heart of Gold - 2009 Remaster,Neil Young,Harvest (2009 Remaster),1972-02-14
Unknown,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,Who Loves You,1975
Unknown,Bang a Gong (Get It On) - 2003 Remaster,T. Rex,Electric Warrior [Expanded & Remastered],1971-09-24
Unknown,I Can See Clearly Now,Jimmy Cliff,We All Are One: The Best Of Jimmy Cliff,2002-06-11
Unknown,Best Day Of My Life,American Authors,"Oh, What A Life",2014-01-01
Unknown,Going Up The Country,Canned Heat,On The Road Again,1989-01-01
Unknown,Slip Away,Clarence Carter,This Is Clarence Carter,1968
